experiment_name,target_col,use_log_target,kept_samples,removed_samples,test_samples,best_model,mae,rmse,r2,mape,delta_vs_baseline
original,total_price_wan,False,5533,0,1383,stacking_ridge,20.493576857966037,25.797428079399054,0.31859280288289427,0.23946806164846435,-0.41834552983553763
log_only,log_total_price_wan,True,5533,0,1383,stacking_ridge,20.552331586754466,26.03715297823417,0.3058698876864965,0.23523534803298374,-0.3595908010471085
clean_only,total_price_wan,False,5275,258,1383,stacking_ridge,20.834863857129267,26.503924687086677,0.2807592699120143,0.2473843692467586,-0.07705853067230706
combined,log_total_price_wan,True,5275,258,1383,lightgbm,20.433069856178548,26.405693938015816,0.28608079339026393,0.23318195939716008,-0.4788525316230263
