group,variant,model,mae,rmse,r2,cv_mae_mean,cv_mae_std,train_rows,test_rows
A_ai_weights,expert,hist_gradient_boosting,21.989949737457266,27.615281332968603,0.21917656466162394,19.074434783721497,1.170219129981827,5533,1383
A_ai_weights,equal,hist_gradient_boosting,22.527166203064354,28.087997825491815,0.19221560092180345,19.14442048709415,1.0626183433663634,5533,1383
A_ai_weights,data_driven,hist_gradient_boosting,23.00131095589921,28.523261171882538,0.16698609151150612,19.035181258813964,1.2223458764164754,5533,1383
A_ai_weights,no_ai,hist_gradient_boosting,23.993754859473757,29.79726086552967,0.09091062539743722,19.40646930707766,1.1746718814522183,5533,1383
B_pbs_construct,entropy,hist_gradient_boosting,21.989949737457266,27.615281332968603,0.21917656466162394,19.074434783721497,1.170219129981827,5533,1383
B_pbs_construct,gini,hist_gradient_boosting,23.47818843089333,29.222483030100463,0.12564433978373035,19.097670316388278,0.9594536920329317,5533,1383
B_pbs_construct,herfindahl,hist_gradient_boosting,22.622340710402835,28.151874140760388,0.18853737776132118,19.149869999925787,0.9550028292703667,5533,1383
B_pbs_construct,no_pbs,hist_gradient_boosting,23.409665840879846,28.964824329952215,0.1409949967785883,18.971097276168464,1.1250949866864675,5533,1383
C_confirm,expert(best_of_A),stacking_ridge,20.493576857966037,25.797428079399054,0.3185928028828944,19.361252781785723,0.6411889895292485,5533,1383
C_confirm,no_ai(worst_of_A),stacking_ridge,21.994551813656106,27.387228267422998,0.2320197371592394,19.64320344473381,0.608086972889633,5533,1383
