model_name,mae,rmse,r2,mape,cv_mae_mean,cv_mae_std
two_stage_residual,20.41957944835916,25.841152469548916,0.3162809938716954,0.2399978222373356,18.88800121969132,0.9414421008332061
stacking_ridge,20.493576857966044,25.797428079399054,0.31859280288289427,0.2394680616484644,19.361252781785723,0.641188989529247
catboost,21.403880511989342,26.718861587218566,0.26904642256079103,0.25780984435812837,18.56432582567534,1.0076815141992141
lightgbm,21.86119897776148,27.199191972256504,0.24252919217913937,0.25723447392759763,19.041975435443927,1.250224803621974
hist_gradient_boosting,21.989949737457266,27.615281332968603,0.21917656466162394,0.2620592172926611,19.074434783721497,1.170219129981827
blend_top3,22.55877010536429,28.037564002508947,0.19511385520797253,0.2740130970936392,18.753085545057417,1.1810212955209531
xgboost,22.5928418344979,27.948408892937476,0.2002245431437223,0.27345466181940664,18.69395784648987,1.076251462913888
ridge,23.12511949959575,29.09451563312073,0.13328530805111527,0.2784843900575676,21.664077428466978,1.3989680101162643
gradient_boosting,23.971582466086314,29.5385182735134,0.10663011604170092,0.2966892077328238,19.243130614252227,1.1623862583978255
random_forest,24.302177772459547,30.406248357845232,0.05337150645668953,0.296686918075635,19.000972963007047,1.459130909449757
mean_baseline,27.069291547108598,33.55077991211347,-0.15254830360521154,0.34382733553749556,26.840753504650326,0.9326374653269551
lasso,28.084181639256435,34.449774401307586,-0.2151409592682645,0.35098709202913164,21.243259073548803,0.29939701567548654
