combination_name,removed_member,member_models,stacking_model_name,voting_model_name,stacking_mae,voting_mae,voting_minus_stacking_mae,stacking_cv_mae_mean,voting_cv_mae_mean
full,,random_forest|gradient_boosting|hist_gradient_boosting|xgboost|lightgbm|catboost,stacking_full,voting_full,20.493576857966044,22.35219200539636,1.8586151474303172,19.361252781785723,18.579676472338992
without_catboost,catboost,random_forest|gradient_boosting|hist_gradient_boosting|xgboost|lightgbm,stacking_without_catboost,voting_without_catboost,20.970342698657664,22.59973636119481,1.6293936625371472,19.509725307640597,18.649244539998747
without_gradient_boosting,gradient_boosting,random_forest|hist_gradient_boosting|xgboost|lightgbm|catboost,stacking_without_gradient_boosting,voting_without_gradient_boosting,20.896501679796547,22.140531947473608,1.2440302676770614,19.441251428906856,18.538308963529317
without_hist_gradient_boosting,hist_gradient_boosting,random_forest|gradient_boosting|xgboost|lightgbm|catboost,stacking_without_hist_gradient_boosting,voting_without_hist_gradient_boosting,20.58745346568937,22.536407512798473,1.9489540471091011,19.34298005643609,18.57896972144151
without_lightgbm,lightgbm,random_forest|gradient_boosting|hist_gradient_boosting|xgboost|catboost,stacking_without_lightgbm,voting_without_lightgbm,20.52881629461434,22.534620877542704,2.005804582928363,19.381944130408442,18.5787130083604
without_random_forest,random_forest,gradient_boosting|hist_gradient_boosting|xgboost|lightgbm|catboost,stacking_without_random_forest,voting_without_random_forest,20.647106429481486,22.053301662836226,1.4061952333547403,19.223456606372,18.614487325462168
without_xgboost,xgboost,random_forest|gradient_boosting|hist_gradient_boosting|lightgbm|catboost,stacking_without_xgboost,voting_without_xgboost,20.459285269130916,22.345501962963873,1.8862166938329565,19.386572994624604,18.605656517688015
