experiment,model_name,mae,rmse,r2,mape,cv_mae_mean,cv_mae_std,delta_vs_new_baseline,delta_vs_old_baseline
log_llm_semantic,log_llm_semantic__stacking_ridge,20.003021428181068,25.428402674904955,0.3379480700701597,0.22578124373888941,0.1940834357289499,0.0042612086249227705,-0.13987857181893304,-0.9089009596205067
log_rule_semantic,log_rule_semantic__stacking_ridge,20.174014076431554,25.744538829356017,0.3213839471989993,0.23030828385069105,0.19643012105490917,0.0076105904651840575,0.031114076431553173,-0.7379083113700204
log_rule_llm_semantic,log_rule_llm_semantic__stacking_ridge,20.37340356015092,25.515891824850392,0.33338451133139346,0.23491858698570564,0.1930064793963444,0.0063416753630537405,0.23050356015091822,-0.5385188276506554
original,original__stacking_ridge,20.493576857966044,25.797428079399058,0.31859280288289427,0.23946806164846432,19.361252781785723,0.641188989529247,0.3506768579660431,-0.4183455298355305
rule_semantic,rule_semantic__stacking_ridge,20.517045581091068,25.733110532374027,0.3219863044195487,0.24314058992101462,19.46555836433701,0.8405443688543246,0.3741455810910672,-0.3948768067105064
log_original,log_original__stacking_ridge,20.552331586754452,26.037152978234158,0.30586988768649725,0.2352353480329834,0.19164832027266887,0.0050474678889326895,0.4094315867544509,-0.3595908010471227
llm_semantic,llm_semantic__stacking_ridge,21.17160656034847,26.368109196475995,0.2881116714899855,0.2521760885367345,19.56707800960807,0.7901905952879552,1.0287065603484677,0.25968417254689413
