model_name,train_seconds,predict_seconds_total,latency_ms_per_sample,mae,cv_mae_mean,selected_alpha,train_cost_x_catboost
two_stage_residual,21.385646599999745,0.048409900002297945,0.03500354302407661,20.41957944835916,18.88800121969132,,4.156314000272303
stacking_ridge,107.2944065000047,0.1024226000008639,0.07405827910402306,20.493576857966044,19.361252781785723,,20.852736053670803
catboost,5.145339499998954,0.015030499998829328,0.01086804049083827,21.403880511989342,18.56432582567534,,1.0
lightgbm,3.9926891999930376,0.01867429999401793,0.013502747645710723,21.86119897776148,19.041975435443927,,0.7759816820627383
hist_gradient_boosting,9.887858600006439,0.0298488999978872,0.021582718725876502,21.989949737457266,19.074434783721497,,1.9217115994014484
blend_top3,,,,22.55877010536429,18.753085545057417,,
xgboost,1.8485364999942249,0.013867100002244115,0.010026825742765087,22.5928418344979,18.69395784648987,,0.3592642429123677
ridge,0.7598661999945762,0.009087900005397387,0.006571149678523056,23.12511949959575,21.664077428466978,100.0,0.1476804786146241
gradient_boosting,7.85132080000767,0.010236199988867156,0.007401446123548197,23.971582466086314,19.243130614252227,,1.5259091844200496
random_forest,4.45038179999392,0.06925329999648966,0.05007469269449722,24.302177772459547,19.000972963007047,,0.8649345295864004
mean_baseline,0.14990239999315236,0.010112399992067367,0.007311930579947481,27.069291547108598,26.840753504650326,,0.02913362665246537
lasso,0.7766399999964051,0.011009900001226924,0.007960882141161913,28.084181639256435,21.243259073548803,0.061278356764835604,0.1509404772992264
